quad,test
966055,960996
963021,391176
954780,806780
933123,796928
880300,459511
841983,989508
747535,471581
710918,994601
681305,298408
670519,874705
655194,164757
642699,520712
641431,204139
628806,939682
621519,458007
620279,520935
575199,202663
572851,517527
568282,578874
526260,137649
523534,604049
513828,417099
508284,418086
499657,151513
492071,827154
488890,190758
479495,462626
397703,540374
395928,180490
373066,701063
337109,779164
331381,875655
295912,592227
270449,920421
267525,655993
221178,943465
212445,264377
187223,916051
165418,413750
164071,714686
162193,576074
142134,753825
